id,id_mapper,chapter,kapitelbezeichnung,bezeichnung,finaler_beschluss,snomed_code,descriptor,equ_jens,equ_mareike,equi_final,finales_konzept,agreement,map,kapitel
6,9f6,01-03,01 Stammdaten,Versichertenstatus,2 „GKV mit staatl. Zusatzversicherung“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
6,83f,01-03,01 Stammdaten,Versichertenstatus,2 „GKV mit staatl. Zusatzversicherung“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
7,605,01-03,01 Stammdaten,Versichertenstatus,3 „PKV“,185952002,Private health insurance held (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
7,83f,01-03,01 Stammdaten,Versichertenstatus,3 „PKV“,314847007,Patient has private medical insurance (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",2,TRUE,1,01
7,9f6,01-03,01 Stammdaten,Versichertenstatus,3 „PKV“,185952002,Private health insurance held (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
8,605,01-03,01 Stammdaten,Versichertenstatus,4 „nicht krankversichert“,424553001,Uninsured medical expenses (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
8,83f,01-03,01 Stammdaten,Versichertenstatus,4 „nicht krankversichert“,424553001,Uninsured medical expenses (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
8,9f6,01-03,01 Stammdaten,Versichertenstatus,4 „nicht krankversichert“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
9,605,01-03,01 Stammdaten,Versichertenstatus,5 „anders krankenversichert“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
9,83f,01-03,01 Stammdaten,Versichertenstatus,5 „anders krankenversichert“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
9,9f6,01-03,01 Stammdaten,Versichertenstatus,5 „anders krankenversichert“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
10,9f6,01-03,01 Stammdaten,Versichertenstatus,Versichertenstatus,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
10,83f,01-03,01 Stammdaten,Versichertenstatus,Versichertenstatus,419808006,Finding related to health insurance issues (finding),Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,1,TRUE,1,01
10,605,01-03,01 Stammdaten,Versichertenstatus,Versichertenstatus,419808006,Finding related to health insurance issues (finding),Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,1,TRUE,1,01
11,83f,01-03-01,01 Stammdaten,Name der Krankenkasse,Text,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
11,9f6,01-03-01,01 Stammdaten,Name der Krankenkasse,Text,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
11,605,01-03-01,01 Stammdaten,Name der Krankenkasse,Text,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
12,9f6,01-04,01 Stammdaten,PLZ,5-stellig,184102003,Patient postal code (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
12,605,01-04,01 Stammdaten,PLZ,5-stellig,184102003,Patient postal code (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
12,83f,01-04,01 Stammdaten,PLZ,5-stellig,184102003,Patient postal code (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
13,83f,01-05,01 Stammdaten,Familienstand,1 „feste Partnerschaft“,38070000,Cohabiting (finding),Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,2,TRUE,1,01
13,605,01-05,01 Stammdaten,Familienstand,1 „feste Partnerschaft“,430618002,Domestic partnership (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
13,9f6,01-05,01 Stammdaten,Familienstand,1 „feste Partnerschaft“,430618002,Domestic partnership (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
14,83f,01-05,01 Stammdaten,Familienstand,2 „verheiratet“,87915002,Married (finding),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
14,605,01-05,01 Stammdaten,Familienstand,2 „verheiratet“,87915002,Married (finding),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
14,9f6,01-05,01 Stammdaten,Familienstand,2 „verheiratet“,87915002,Married (finding),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
15,605,01-05,01 Stammdaten,Familienstand,3 „geschieden“,20295000,Divorced (finding),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
15,83f,01-05,01 Stammdaten,Familienstand,3 „geschieden“,20295000,Divorced (finding),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
15,9f6,01-05,01 Stammdaten,Familienstand,3 „geschieden“,2326000,Marriage annulment (finding),"Equivalence of meaning, but with synonymy.",No map is possible,No map is possible,2,FALSE,1,01
16,83f,01-05,01 Stammdaten,Familienstand,4 „verwitwet“,33553000,Widowed (finding),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
16,9f6,01-05,01 Stammdaten,Familienstand,4 „verwitwet“,33553000,Widowed (finding),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
16,605,01-05,01 Stammdaten,Familienstand,4 „verwitwet“,33553000,Widowed (finding),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,01
17,9f6,01-05,01 Stammdaten,Familienstand,5 „ledig“,55876004,Bachelor (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",2,TRUE,1,01
17,605,01-05,01 Stammdaten,Familienstand,5 „ledig“,125725006,"Marital status: single, never married (finding)","Equivalence of meaning, but with synonymy.","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning, but with synonymy.",1,FALSE,1,01
17,83f,01-05,01 Stammdaten,Familienstand,5 „ledig“,125725006,"Marital status: single, never married (finding)","Equivalence of meaning, but with synonymy.","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning, but with synonymy.",1,FALSE,1,01
18,83f,01-05,01 Stammdaten,Familienstand,Familienstand,224083004,Marital or partnership status (observable entity),"Equivalence of meaning, but with synonymy.","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning, but with synonymy.",1,FALSE,1,01
18,605,01-05,01 Stammdaten,Familienstand,Familienstand,365581002,Finding of marital or partnership status (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",2,TRUE,1,01
18,9f6,01-05,01 Stammdaten,Familienstand,Familienstand,224083004,Marital or partnership status (observable entity),"Equivalence of meaning, but with synonymy.","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning, but with synonymy.",1,FALSE,1,01
19,83f,01-06,01 Stammdaten,Schulbildung,1 „ohne Abschluss“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
19,605,01-06,01 Stammdaten,Schulbildung,1 „ohne Abschluss“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
19,9f6,01-06,01 Stammdaten,Schulbildung,1 „ohne Abschluss“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
20,9f6,01-06,01 Stammdaten,Schulbildung,2 „Hauptschulabschluss“,105422001,Poor education (finding),No map is possible,No map is possible,No map is possible,2,TRUE,1,01
20,83f,01-06,01 Stammdaten,Schulbildung,2 „Hauptschulabschluss“,105422001,Poor education (finding),No map is possible,No map is possible,No map is possible,2,TRUE,1,01
20,605,01-06,01 Stammdaten,Schulbildung,2 „Hauptschulabschluss“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
21,9f6,01-06,01 Stammdaten,Schulbildung,3 „Realschulabschluss (Mittlere Reife)“,105423006,Good education (finding),Source concept is narrower and has a more specific meaning than the target concept,No map is possible,No map is possible,2,FALSE,1,01
21,605,01-06,01 Stammdaten,Schulbildung,3 „Realschulabschluss (Mittlere Reife)“,105423006,Good education (finding),Source concept is narrower and has a more specific meaning than the target concept,No map is possible,No map is possible,2,FALSE,1,01
21,83f,01-06,01 Stammdaten,Schulbildung,3 „Realschulabschluss (Mittlere Reife)“,224855002,middle school (environment),No map is possible,No map is possible,No map is possible,2,TRUE,1,01
22,605,01-06,01 Stammdaten,Schulbildung,4 „Fachhochschulreife“,105423006,Good education (finding),Source concept is narrower and has a more specific meaning than the target concept,No map is possible,No map is possible,2,FALSE,1,01
22,83f,01-06,01 Stammdaten,Schulbildung,4 „Fachhochschulreife“,161122005,Higher education (finding),Source concept is narrower and has a more specific meaning than the target concept,No map is possible,No map is possible,2,FALSE,1,01
22,9f6,01-06,01 Stammdaten,Schulbildung,4 „Fachhochschulreife“,161122005,Higher education (finding),Source concept is narrower and has a more specific meaning than the target concept,No map is possible,No map is possible,2,FALSE,1,01
23,605,01-06,01 Stammdaten,Schulbildung,5 „Allgemeine Hochschulreife (Abitur)“,no map,no map,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
23,9f6,01-06,01 Stammdaten,Schulbildung,5 „Allgemeine Hochschulreife (Abitur)“,161122005,Higher education (finding),No map is possible,No map is possible,No map is possible,2,TRUE,1,01
23,83f,01-06,01 Stammdaten,Schulbildung,5 „Allgemeine Hochschulreife (Abitur)“,161122005,Higher education (finding),No map is possible,No map is possible,No map is possible,2,TRUE,1,01
24,605,01-06,01 Stammdaten,Schulbildung,6 „anderer Schulabschluss“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
24,9f6,01-06,01 Stammdaten,Schulbildung,6 „anderer Schulabschluss“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
24,83f,01-06,01 Stammdaten,Schulbildung,6 „anderer Schulabschluss“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
25,605,01-06,01 Stammdaten,Schulbildung,Schulbildung,276031006,Details of education (observable entity),"Equivalence of meaning, but with synonymy.",Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,1,FALSE,1,01
25,83f,01-06,01 Stammdaten,Schulbildung,Schulbildung,276031006,Details of education (observable entity),"Equivalence of meaning, but with synonymy.",Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,1,FALSE,1,01
25,9f6,01-06,01 Stammdaten,Schulbildung,Schulbildung,365460000,Finding of education received in the past (finding),No map is possible,Source concept is narrower and has a more specific meaning than the target concept,No map is possible,2,FALSE,1,01
26,83f,01-07,01 Stammdaten,Berufstätigkeit,1 „erwerbstätigmit |__|__| Stunden pro Woche“,224363007,Employed (finding),Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,1,TRUE,1,01
26,9f6,01-07,01 Stammdaten,Berufstätigkeit,1 „erwerbstätigmit |__|__| Stunden pro Woche“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
26,605,01-07,01 Stammdaten,Berufstätigkeit,1 „erwerbstätigmit |__|__| Stunden pro Woche“,224363007,Employed (finding),Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,1,TRUE,1,01
27,605,01-07,01 Stammdaten,Berufstätigkeit,"2 „längere Beurlaubung, Freistellung (z. B. Elternzeit)“",440337002,Temporarily unable to perform work activities due to medical condition (finding),No map is possible,Source concept is broader and has a less specific meaning than the target concept,No map is possible,2,FALSE,1,01
27,9f6,01-07,01 Stammdaten,Berufstätigkeit,"2 „längere Beurlaubung, Freistellung (z. B. Elternzeit)“",224456008,Temporarily unable to perform work activities due to medical condition (finding),No map is possible,Source concept is broader and has a less specific meaning than the target concept,No map is possible,2,FALSE,1,01
27,83f,01-07,01 Stammdaten,Berufstätigkeit,"2 „längere Beurlaubung, Freistellung (z. B. Elternzeit)“",700149001,On parental leave (finding),Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,Source concept is broader and has a less specific meaning than the target concept,1,TRUE,1,01
28,605,01-07,01 Stammdaten,Berufstätigkeit,"3 „Auszubildende/r (Azubi), freiwillige/r Zivildienstleistende/r oder Wehrdienstleistender,freiwilliges soziales Jahr“",no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
28,9f6,01-07,01 Stammdaten,Berufstätigkeit,"3 „Auszubildende/r (Azubi), freiwillige/r Zivildienstleistende/r oder Wehrdienstleistender,freiwilliges soziales Jahr“",no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
28,83f,01-07,01 Stammdaten,Berufstätigkeit,"3 „Auszubildende/r (Azubi), freiwillige/r Zivildienstleistende/r oder Wehrdienstleistender,freiwilliges soziales Jahr“",161125007,Adult education (finding),No map is possible,No map is possible,No map is possible,2,TRUE,1,01
29,605,01-07,01 Stammdaten,Berufstätigkeit,"4 „in Rente, Pension, Vorruhestand (nicht aufgrund der Erkrankung)“",105493001,"Retired, life event (finding)",Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,1,TRUE,1,01
29,83f,01-07,01 Stammdaten,Berufstätigkeit,"4 „in Rente, Pension, Vorruhestand (nicht aufgrund der Erkrankung)“",712889009,Retired worker (occupation),Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,2,TRUE,1,01
29,9f6,01-07,01 Stammdaten,Berufstätigkeit,"4 „in Rente, Pension, Vorruhestand (nicht aufgrund der Erkrankung)“",105493001,"Retired, life event (finding)",Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,1,TRUE,1,01
30,83f,01-07,01 Stammdaten,Berufstätigkeit,"5 „in Frührente, erwerbsunfähig (wegen der Erkrankung)“",105494007,"Early retirement, life event (finding)",Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,2,TRUE,1,01
30,605,01-07,01 Stammdaten,Berufstätigkeit,"5 „in Frührente, erwerbsunfähig (wegen der Erkrankung)“",160898008,"Medically retired, life event (finding)","Equivalence of meaning, but with synonymy.",Source concept is narrower and has a more specific meaning than the target concept,"Equivalence of meaning, but with synonymy.",1,FALSE,1,01
30,9f6,01-07,01 Stammdaten,Berufstätigkeit,"5 „in Frührente, erwerbsunfähig (wegen der Erkrankung)“",160898008,"Medically retired, life event (finding)","Equivalence of meaning, but with synonymy.",Source concept is narrower and has a more specific meaning than the target concept,"Equivalence of meaning, but with synonymy.",1,FALSE,1,01
31,605,01-07,01 Stammdaten,Berufstätigkeit,6 „Hausfrau/Hausmann“,no map,NA,No map is possible,No map is possible,No map is possible,2,TRUE,1,01
31,83f,01-07,01 Stammdaten,Berufstätigkeit,6 „Hausfrau/Hausmann“,91534000,Housemaid (occupation),No map is possible,No map is possible,No map is possible,2,TRUE,1,01
31,9f6,01-07,01 Stammdaten,Berufstätigkeit,6 „Hausfrau/Hausmann“,308225000,Maid (occupation),No map is possible,No map is possible,No map is possible,2,TRUE,1,01
32,9f6,01-07,01 Stammdaten,Berufstätigkeit,"7 „Schüler/in, Student/in“",65853000,Student (occupation),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
32,605,01-07,01 Stammdaten,Berufstätigkeit,"7 „Schüler/in, Student/in“",65853000,Student (occupation),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
32,83f,01-07,01 Stammdaten,Berufstätigkeit,"7 „Schüler/in, Student/in“",65853000,Student (occupation),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
33,9f6,01-07,01 Stammdaten,Berufstätigkeit,8 „Empfänger von Arbeitslosengeld I oder II“,73438004,Unemployed (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
33,83f,01-07,01 Stammdaten,Berufstätigkeit,8 „Empfänger von Arbeitslosengeld I oder II“,73438004,Unemployed (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
33,605,01-07,01 Stammdaten,Berufstätigkeit,8 „Empfänger von Arbeitslosengeld I oder II“,73438004,Unemployed (finding),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
35,605,01-07,01 Stammdaten,Berufstätigkeit,Berufstätigkeit,224362002,Employment status (observable entity),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
35,9f6,01-07,01 Stammdaten,Berufstätigkeit,Berufstätigkeit,224362002,Employment status (observable entity),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
35,83f,01-07,01 Stammdaten,Berufstätigkeit,Berufstätigkeit,224362002,Employment status (observable entity),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,01
37,9f6,02-01,02 Allgemeinstatus,BMI,bmi,60621009,Body mass index (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
37,605,02-01,02 Allgemeinstatus,BMI,bmi,60621009,Body mass index (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
37,83f,02-01,02 Allgemeinstatus,BMI,bmi,60621009,Body mass index (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
38,83f,02-01,02 Allgemeinstatus,Größe,cm,50373000,Body height measure (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
38,605,02-01,02 Allgemeinstatus,Größe,cm,50373000,Body height measure (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
38,9f6,02-01,02 Allgemeinstatus,Größe,cm,50373000,Body height measure (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
39,605,02-01,02 Allgemeinstatus,Gewicht,kg,27113001,Body weight (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
39,9f6,02-01,02 Allgemeinstatus,Gewicht,kg,27113001,Body weight (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
39,83f,02-01,02 Allgemeinstatus,Gewicht,kg,27113001,Body weight (observable entity),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
41,83f,02-02-01,02 Allgemeinstatus,Herz-Kreislauf-Erkrankungen,-,49601007,Disorder of cardiovascular system (disorder),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
41,9f6,02-02-01,02 Allgemeinstatus,Herz-Kreislauf-Erkrankungen,-,49601007,Disorder of cardiovascular system (disorder),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
41,605,02-02-01,02 Allgemeinstatus,Herz-Kreislauf-Erkrankungen,-,49601007,Disorder of cardiovascular system (disorder),"Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning; lexical, as well as conceptual",1,TRUE,1,02
43,605,02-02-01-01-01,02 Allgemeinstatus,Arterielle Hypertonie,1 „ja“,38341003,"Hypertensive disorder, systemic arterial (disorder)","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,02
43,83f,02-02-01-01-01,02 Allgemeinstatus,Arterielle Hypertonie,1 „ja“,38341003,"Hypertensive disorder, systemic arterial (disorder)","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,02
43,9f6,02-02-01-01-01,02 Allgemeinstatus,Arterielle Hypertonie,1 „ja“,38341003,"Hypertensive disorder, systemic arterial (disorder)","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,02
45,9f6,02-02-01-02-02,02 Allgemeinstatus,Herzinsuffizienz,1 „ja“,64077000,Myocardial degeneration (disorder),Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,Source concept is narrower and has a more specific meaning than the target concept,2,TRUE,1,02
45,83f,02-02-01-02-02,02 Allgemeinstatus,Herzinsuffizienz,1 „ja“,84114007,Heart failure (disorder),"Equivalence of meaning, but with synonymy.","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning, but with synonymy.",1,FALSE,1,02
45,605,02-02-01-02-02,02 Allgemeinstatus,Herzinsuffizienz,1 „ja“,84114007,Heart failure (disorder),"Equivalence of meaning, but with synonymy.","Equivalence of meaning; lexical, as well as conceptual","Equivalence of meaning, but with synonymy.",1,FALSE,1,02
47,9f6,02-02-01-03-03,02 Allgemeinstatus,Koronare Herzkrankheit,1 „ja“,53741008,Coronary arteriosclerosis (disorder),"Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.","Equivalence of meaning, but with synonymy.",1,TRUE,1,02
